,Dates,EWJ,VB,EEM,VTV,VTI,EFA,VEA,VWO,IWM,IJH,IJR,IWF,VUG,SPY,mu,0.000470706,0.000723156,0.000602255,0.00048788,0.00060917,0.000365491,0.000418555,0.000539102,0.000827748,0.000660334,0.000840463,0.000736915,0.000707436,0.000567947
60,28-Mar-18,0.011308017,0.000620433,-0.005049442,0,-0.002310157,0.005826657,0.004820937,-0.006887645,-0.000332535,0.001949529,0.001312508,-0.005197119,-0.005556347,-0.00295472,,60.68,146.92,48.28,103.18,135.72,69.68,44.25,46.98,151.83,187.57,77.01,136.09,141.88,263.15
61,27-Mar-18,0.002368466,-0.016942261,-0.018178062,-0.012592019,-0.017714662,-0.007374205,-0.008196721,-0.014843087,-0.019369986,-0.015304218,-0.016903226,-0.02313606,-0.023918787,-0.017011806,,59.92,145.15,47.29,101.94,133.88,69.05,43.77,46.14,150.31,185.02,76.29,133.99,139.6,259.83
62,26-Mar-18,0.014241592,0.022096003,0.032416293,0.027570419,0.02637115,0.017957021,0.014084507,0.028122956,0.02185938,0.022240392,0.022562343,0.029493019,0.027285714,0.027359039,,59.25,145.06,47.53,101.94,134.19,68.65,43.56,46.46,150.36,184.66,76.19,134.69,140.38,260.6
63,23-Mar-18,-0.020997816,-0.01915891,-0.020267447,-0.021427876,-0.02096359,-0.011062591,-0.012314709,-0.014607948,-0.0215194,-0.0199797,-0.021559515,-0.020979532,-0.021389627,-0.021314522,,59.11,147.56,48.41,103.24,136.61,69.16,43.92,47.16,153.33,187.53,77.5,137.88,143.82,265.11
64,22-Mar-18,-0.009154461,-0.025425412,-0.033326601,-0.030408915,-0.028442793,-0.018571429,-0.018356839,-0.031620553,-0.024180719,-0.028492838,-0.023572419,-0.028891886,-0.027662611,-0.024997227,,58.28,144.37,46.89,100.47,133.1,67.94,43.31,45.87,150.05,183.45,75.79,133.93,140,258.05
65,21-Mar-18,0.001333333,0.004055312,0.005891914,-0.000566305,-0.000856837,0.001573902,0.002468582,0.005438193,0.005824373,0.002914845,0.004304342,-0.004452297,-0.003049194,-0.001919173,,59.53,147.19,47.86,102.67,135.95,68.7,43.85,46.55,153.35,187.19,77.46,136.8,143.06,263.67
66,20-Mar-18,0.005698961,0.000864994,0.011092851,-0.000471698,0.001501716,-0.000143062,0.000898473,0.008649789,-0.000255951,0.000885647,-0.000253133,0.00411581,0.004423875,0.001700617,,60.08,151.03,49.51,105.89,139.93,70,44.67,48.07,157.15,192.68,79.33,140.87,147.13,270.43
67,19-Mar-18,-0.016971494,-0.009751598,-0.010770169,-0.011378474,-0.012847663,-0.008088548,-0.00824237,-0.009404389,-0.009632446,-0.00903459,-0.008781834,-0.015234102,-0.015808159,-0.01353027,,60,150.42,49.22,105.95,140.05,69.89,44.56,47.81,156.24,192.12,78.99,141.5,147.58,270.95
68,16-Mar-18,-0.004429134,0.00496623,-0.002230333,0.002430815,0.001697073,-0.000709019,-0.001334816,-0.003125,0.005607953,0.006233766,0.007457027,0.000139782,-0.000669389,-0.002909091,,59.66,150.29,48.68,106,139.84,69.9,44.52,47.4,156.28,191.95,79.01,140.92,146.93,270.49
69,15-Mar-18,0.001972387,-0.003760142,-0.003636364,-0.000186951,-0.001341713,-0.000566893,-0.00022242,-0.003942727,-0.005009194,-0.003674758,-0.004404178,-0.000837989,-0.001537228,-0.00108972,,60.69,151.77,49.21,107.22,141.66,70.47,44.89,47.85,157.8,193.7,79.71,143.1,149.29,274.2
70,14-Mar-18,0.004291845,-0.005510726,0.001618778,-0.007054019,-0.005058666,0.002415116,0.001559367,0.001246624,-0.004733056,-0.004995365,-0.004758923,-0.003340757,-0.002865711,-0.005131541,,60.96,151.02,49.32,106.96,141.42,70.52,44.95,48,156.92,192.5,79.12,143.08,149.39,275
71,13-Mar-18,-0.001647989,-0.004376225,-0.009023461,-0.006180242,-0.006214216,-0.006632797,-0.006198805,-0.009670782,-0.004648241,-0.005683855,-0.003245537,-0.007186291,-0.007014757,-0.006462732,,60.84,151.59,49.5,106.98,141.61,70.56,44.96,48.19,157.71,193.21,79.47,143.2,149.62,275.3
72,12-Mar-18,0.000989772,0.001439037,0.00241206,-0.003218095,-0.000558269,0.001130263,0.001552106,0.003510221,0.001761893,0.001076481,0.003758927,0.000345614,0.001458016,-0.001255065,,60.58,152.43,49.42,107.74,142.33,70.39,44.89,48.13,158.46,194.18,79.85,143.68,150.05,276.72
